InformationFlowName,Confidentiality,Integrity,Availability,FIPSsStandard
alternate mode service coordination,Low,Moderate,Moderate,TRUE
service information response,Moderate,Moderate,Moderate,TRUE
payment device update,Moderate,Moderate,High,TRUE
alternate mode information,Low,Moderate,Low,TRUE
alarm notification,Moderate,High,Moderate,TRUE
alternate mode information,Low,Moderate,Low,TRUE
transit vehicle control,Moderate,High,High,TRUE
collision warning information,Low,Moderate,Moderate,TRUE
traveler interface updates,Not Applicable,Moderate,Moderate,TRUE
secure area surveillance data,Moderate,Moderate,Moderate,TRUE
vehicle path prediction,Not Applicable,High,Moderate,TRUE
alternate mode service data,Moderate,Moderate,Low,TRUE
emergency transit schedule information,Low,High,High,TRUE
transit user information,Moderate,Moderate,Moderate,TRUE
authorization response,Moderate,Moderate,Moderate,TRUE
transit traveler information,Low,Moderate,Moderate,TRUE
transit system status assessment,Moderate,Moderate,Moderate,TRUE
transit emergency data,Moderate,High,High,TRUE
alert status,High,High,High,TRUE
alarm acknowledge,Moderate,High,Moderate,TRUE
emergency plan coordination,High,High,High,TRUE
transit incident information,Low,Moderate,Moderate,TRUE
event transit service plans,Moderate,Moderate,Moderate,TRUE
trip access coordination,Moderate,Moderate,Moderate,TRUE
smart card reconciliation,Moderate,Moderate,Moderate,TRUE
account updates,Moderate,Moderate,Moderate,TRUE
service registry,Low,Moderate,Moderate,TRUE
payment request,Moderate,Moderate,Moderate,TRUE
emergency transit service response,High,High,High,TRUE
vehicle signage data,Low,Moderate,Moderate,TRUE
low emissions zone operations information,Moderate,Moderate,Low,TRUE
transit vehicle information,Low,Moderate,Moderate,TRUE
transfer status,Moderate,Moderate,Moderate,TRUE
vehicle path prediction,Not Applicable,High,Moderate,TRUE
transit vehicle information,Low,Moderate,Moderate,TRUE
local signal priority request,Not Applicable,Moderate,Low,TRUE
fare management information,High,Moderate,Moderate,TRUE
special vehicle alert,Not Applicable,High,Moderate,TRUE
transit traveler request,Moderate,Moderate,Moderate,TRUE
transit operations personnel input,Moderate,High,High,TRUE
transit vehicle operator input,Low,Moderate,Low,TRUE
transit vehicle operator availability,Moderate,Moderate,Moderate,TRUE
transit park and ride information,Moderate,Moderate,Low,TRUE
transit schedule adherence information,Low,Moderate,Moderate,TRUE
transit information for media,Low,Moderate,Moderate,TRUE
local signal priority request,Not Applicable,Moderate,Low,TRUE
environmental sensor control,Moderate,Moderate,Moderate,TRUE
environmental conditions data status,Low,Moderate,Low,TRUE
special vehicle alert,Not Applicable,High,Moderate,TRUE
vehicle signage data,Low,Moderate,Moderate,TRUE
driver information,Not Applicable,Moderate,Moderate,TRUE
transportation weather information,Low,Moderate,Moderate,TRUE
transportation weather information,Low,Moderate,Moderate,TRUE
environmental sensor data,Low,Moderate,Moderate,TRUE
transportation weather information,Low,Moderate,Moderate,TRUE
work zone warning status,Moderate,Moderate,Moderate,TRUE
roadway micro forecast,Low,Moderate,Low,TRUE
qualified environmental conditions data,Low,Moderate,Moderate,TRUE
environmental conditions data status,Low,Moderate,Low,TRUE
transportation weather information,Low,Moderate,Moderate,TRUE
roadway micro forecast,Low,Moderate,Low,TRUE
traffic operator input,Moderate,High,High,TRUE
transportation weather information,Low,Moderate,Moderate,TRUE
asset locations,Moderate,Moderate,Moderate,TRUE
work zone warning notification,Not Applicable,Moderate,Moderate,TRUE
infrastructure monitoring sensor control,Moderate,High,Low,TRUE
local signal priority request,Not Applicable,Moderate,Low,TRUE
environmental sensor control,Moderate,Moderate,Moderate,TRUE
environmental sensor data,Low,Moderate,Moderate,TRUE
video surveillance control,Moderate,Moderate,Moderate,TRUE
local METR information for users,Not Applicable,High,Moderate,TRUE
traffic detector control,Moderate,Moderate,Low,TRUE
transportation weather information,Low,Moderate,Moderate,TRUE
maint and constr vehicle location data,Moderate,Moderate,Moderate,TRUE
maint and constr vehicle conditions,Moderate,Moderate,Moderate,TRUE
infrastructure conditions data,Moderate,Moderate,Moderate,TRUE
maint and constr vehicle operational data,Moderate,Moderate,Moderate,TRUE
maint and constr dispatch status,Moderate,Moderate,Moderate,TRUE
work zone status,Moderate,Moderate,Moderate,TRUE
roadway dynamic signage data,Moderate,Moderate,Moderate,TRUE
emissions monitoring application information,Moderate,Moderate,Low,TRUE
qualified environmental conditions data,Low,Moderate,Moderate,TRUE
emissions violation notification,Moderate,Moderate,Moderate,TRUE
emissions archive data,Moderate,Moderate,Low,TRUE
low emissions zone coordination,Moderate,Moderate,Low,TRUE
low emissions zone operations information,Moderate,Moderate,Low,TRUE
wide area air quality data,Moderate,Moderate,Moderate,TRUE
low emissions zone operations information,Moderate,Moderate,Low,TRUE
controlled zone application info,Moderate,Moderate,Low,TRUE
low emissions zone coordination,Moderate,Moderate,Low,TRUE
air quality sensor control,Moderate,Moderate,Low,TRUE
emissions sensor control,Moderate,Moderate,Low,TRUE
low emissions zone coordination,Moderate,Moderate,Low,TRUE
air quality information,Not Applicable,Moderate,Low,TRUE
mobile source emissions data,Low,Moderate,Moderate,TRUE
transit emissions data,Low,Moderate,Low,TRUE
air quality information,Not Applicable,Moderate,Low,TRUE
weather information,Low,Moderate,Moderate,TRUE
weather information,Low,Moderate,Moderate,TRUE
weather archive data,Moderate,Moderate,Low,TRUE
weather information,Low,Moderate,Low,TRUE
weather information,Low,Moderate,Moderate,TRUE
qualified environmental conditions data,Low,Moderate,Low,TRUE
weather information,Low,Moderate,Moderate,TRUE
access violation notification,Moderate,High,Moderate,TRUE
environmental conditions data status,Low,Moderate,Low,TRUE
wide area air quality data,Moderate,Moderate,Low,TRUE
qualified environmental conditions data,Low,Moderate,Moderate,TRUE
environmental conditions data status,Low,Moderate,Low,TRUE
weather information,Low,Moderate,Moderate,TRUE
air quality information,Not Applicable,Moderate,Low,TRUE
low emissions zone operations information,Moderate,Moderate,Low,TRUE
emissions operator presentation,Moderate,High,High,TRUE
qualified environmental conditions data,Low,Moderate,Moderate,TRUE
trip status,Moderate,Moderate,Low,TRUE
shelter request,Moderate,Moderate,Moderate,TRUE
traveler payment information,High,High,Moderate,TRUE
user account setup,High,High,Moderate,TRUE
transfer request,Moderate,Moderate,Moderate,TRUE
trip confirmation,Moderate,Moderate,Moderate,TRUE
transit information user request,Moderate,Moderate,Moderate,TRUE
transit stop request,High,Moderate,Moderate,TRUE
wayfinding request,Moderate,Moderate,Moderate,TRUE
transit user information,Moderate,Moderate,Moderate,TRUE
cv trip request,Moderate,Moderate,Low,TRUE
travel services request,Moderate,Moderate,Moderate,TRUE
freight traveler information preferences,Moderate,Moderate,Moderate,TRUE
traveler request,Moderate,Moderate,Moderate,TRUE
trip feedback,Moderate,Moderate,Low,TRUE
traveler sourced updates,Moderate,Moderate,Low,TRUE
wayfinding feedback,Moderate,Moderate,Moderate,TRUE
actuate secure payment,Moderate,Moderate,High,TRUE
payment violation notification,Moderate,Moderate,Moderate,TRUE
vehicle security status thresholds,Moderate,Moderate,Moderate,TRUE
stolen vehicle notification,Moderate,Moderate,Moderate,TRUE
emergency notification,Moderate,High,Moderate,TRUE
user account setup,High,High,Moderate,TRUE
payment device update,Moderate,Moderate,High,TRUE
actuate secure payment,Moderate,Moderate,High,TRUE
payment device token information,Moderate,Moderate,Moderate,TRUE
evacuation assistance request,Moderate,Moderate,Moderate,TRUE
traveler payment information,High,High,Moderate,TRUE
user account setup,High,High,Moderate,TRUE
personal updates,Not Applicable,Moderate,Moderate,TRUE
transit stop request,High,Moderate,Moderate,TRUE
personal location,Not Applicable,High,Moderate,TRUE
transfer request,Moderate,Moderate,Moderate,TRUE
request for payment,Moderate,Moderate,High,TRUE
personal crossing safety information,Not Applicable,Moderate,Low,TRUE
user profile,Moderate,Moderate,Low,TRUE
container availability request,Moderate,Moderate,Moderate,TRUE
expedited clearance registration,Moderate,Moderate,Moderate,TRUE
manifest data,Moderate,Moderate,Moderate,TRUE
freight transport payment information,Moderate,Moderate,Low,TRUE
freight transport booking,Moderate,Moderate,Moderate,TRUE
load matching info,Moderate,Moderate,Moderate,TRUE
freight traveler information preferences,Moderate,Moderate,Moderate,TRUE
freight transport payment information,Moderate,Moderate,Low,TRUE
freight transport booking,Moderate,Moderate,Moderate,TRUE
container seal status,Moderate,Moderate,High,TRUE
available loads,Moderate,Moderate,Moderate,TRUE
trip identification number,Moderate,Moderate,Low,TRUE
alert response,Moderate,Moderate,Moderate,TRUE
fleet manager inquiry,Moderate,High,High,TRUE
available loads,Moderate,Moderate,Moderate,TRUE
personal location,Not Applicable,High,Moderate,TRUE
traveler sourced updates,Moderate,Moderate,Low,TRUE
emergency traveler information request,Moderate,High,Moderate,TRUE
trip request,Moderate,Moderate,Moderate,TRUE
user account setup,High,High,Moderate,TRUE
trip confirmation,Moderate,Moderate,Moderate,TRUE
personal signal service request,Low,Moderate,Low,TRUE
freight transportation status,Moderate,Moderate,Moderate,TRUE
transit user information,Moderate,Moderate,Moderate,TRUE
traveler request,Moderate,Moderate,Low,TRUE
container pickup request,Moderate,Moderate,Moderate,TRUE
load matching systems coordination,Moderate,Moderate,Moderate,TRUE
expedited clearance registration,Moderate,Moderate,Moderate,TRUE
manifest data,Moderate,High,Moderate,TRUE
booking status,Moderate,Moderate,Moderate,TRUE
freight traveler information preferences,Moderate,Moderate,Low,TRUE
personal location,Not Applicable,High,Moderate,TRUE
traveler payment request,Moderate,Moderate,Moderate,TRUE
demand responsive transit plan,Moderate,Moderate,Moderate,TRUE
connection protection instructions,Moderate,Moderate,Moderate,TRUE
transit vehicle operator information,Low,Moderate,Moderate,TRUE
transit traveler information,Low,Moderate,Moderate,TRUE
transit operations status,Moderate,High,High,TRUE
route assignment,Moderate,High,High,TRUE
authorization response,Moderate,Moderate,Moderate,TRUE
personal transit information,Moderate,Moderate,Moderate,TRUE
transit schedule information,Low,Moderate,Moderate,TRUE
user account reports,High,High,Moderate,TRUE
transfer status,Moderate,Moderate,Moderate,TRUE
trip plan,Moderate,Moderate,Moderate,TRUE
transit probe data,Low,Moderate,Low,TRUE
transit trip plan,Moderate,Moderate,Low,TRUE
traveler interface updates,Not Applicable,Moderate,Moderate,TRUE
registered secureIDs,High,High,Moderate,TRUE
service information request,Moderate,Moderate,Moderate,TRUE
driver identity characteristics,High,Moderate,High,TRUE
low emissions zone coordination,Moderate,Moderate,Low,TRUE
transit and fare schedules,Low,Moderate,Moderate,TRUE
transit traveler information coordination,Low,Moderate,Moderate,TRUE
transit fare coordination,Low,Moderate,Moderate,TRUE
transit service coordination,Moderate,Moderate,Moderate,TRUE
transfer status,Moderate,Moderate,Moderate,TRUE
transit alternate mode information,Low,Moderate,Moderate,TRUE
emergency transit schedule information,Low,High,Moderate,TRUE
transit vehicle operator authentication update,Moderate,High,High,TRUE
remote vehicle disable,Moderate,High,Moderate,TRUE
alarm acknowledge,Moderate,High,Moderate,TRUE
transit stop locations,Low,Moderate,Moderate,TRUE
transit stop request,High,Moderate,Moderate,TRUE
fare management information,High,Moderate,Moderate,TRUE
alternate mode service coordination,Low,Moderate,Low,TRUE
user account setup,High,High,Moderate,TRUE
transit fare information,Low,High,Moderate,TRUE
emergency acknowledge,Low,Moderate,Low,TRUE
emergency notification,Moderate,High,Moderate,TRUE
personal location,Not Applicable,High,Moderate,TRUE
shared vehicle access request,Moderate,Moderate,Moderate,TRUE
shared use confirmation,Moderate,Moderate,Moderate,TRUE
VRU cluster information,Low,High,Moderate,TRUE
user profile,Moderate,Moderate,Low,TRUE
VRU path prediction,Low,High,Moderate,TRUE
actuate secure payment,Moderate,Moderate,High,TRUE
traveler payment information,High,High,Moderate,TRUE
user account setup,High,High,Moderate,TRUE
